name,speciality,hospital,city,img,slug,timestamp
Dr. ANITA D ANWAR Sp OG,Sp. Kandungan & Kebidanan,RSIA Limijati,"Bandung Wetan, Kota Bandung",,obstetrics-and-gynecologist,2025-06-15 09:18:04
dr. Abdul Samad Sp.OG,Sp. Kandungan & Kebidanan,RSIA Vitalaya,"Pamulang, Tangerang Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:04
"dr. Adhitya Indrapala, SpOG M.Kes",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:04
"dr. Adhitya Indrapraja, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/290806_23-6-2022_15-46-56.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:04
dr. Adhitya Indraprja SpOG M.Kes,Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:04
"dr. Adnan Abadi, Sp.OG-KFER",Sp. Kandungan & Kebidanan,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/181599_26-8-2020_22-31-14.png,obstetrics-and-gynecologist,2025-06-15 09:18:04
"dr. Adrian Setiawan, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/773606_18-4-2022_10-54-56.png,obstetrics-and-gynecologist,2025-06-15 09:18:04
dr. Agebrina Satolom Sp. OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:04
"dr. Agebrina Satolom, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/692836_23-6-2022_15-38-44.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:04
Dr. Agnes Imelda,Sp. Kandungan & Kebidanan,RS Restu Ibu Balikpapan,"Balikpapan Tengah, Kota Balikpapan",,obstetrics-and-gynecologist,2025-06-15 09:18:04
Dr. Agriana Puspitasari Sp. O. G,Sp. Kandungan & Kebidanan,RS Pondok Indah - Bintaro Jaya,"Pondok Aren, Tangerang Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:07
"Agriana Puspitasari, dr. Sp.OG",Sp. Kandungan & Kebidanan,RS Pondok Indah - Bintaro Jaya,"Pondok Aren, Tangerang Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:07
dr Agung Sari Wijayanti Sp. OG,Sp. Kandungan & Kebidanan,RSU Islam Klaten,"Klaten Utara, Kab Klaten",,obstetrics-and-gynecologist,2025-06-15 09:18:07
dr. Agung Witjaksono Sp.OG,Sp. Kandungan & Kebidanan,Siloam Hospitals ASRI,"Pancoran, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/511261_31-10-2022_14-28-31.png,obstetrics-and-gynecologist,2025-06-15 09:18:07
dr. Agus Heriyanto Sp.OG,Sp. Kandungan & Kebidanan,Promptus Women and Children Clinic,"Serpong, Tangerang Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:07
"dr. Agustinus Gatot Suwarna Hadiwijana, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/202076_14-12-2022_18-2-47.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:07
dr. Agustinus Gusti Sp.OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Labuan Bajo,"Komodo, Kabupaten Manggarai Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/613524_13-12-2022_15-19-40.png,obstetrics-and-gynecologist,2025-06-15 09:18:07
"dr. Aida Riyanti, Sp.OG, M.RepSc",Sp. Kandungan & Kebidanan,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/229288_22-9-2020_13-9-41.png,obstetrics-and-gynecologist,2025-06-15 09:18:07
"dr. Albert Doloksaribu, Sp.OG",Sp. Kandungan & Kebidanan,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/826272_14-12-2022_16-48-3.png,obstetrics-and-gynecologist,2025-06-15 09:18:07
"dr. Alexandra Maria Darmaseputra Ridjab, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/77966_18-4-2022_10-55-45.png,obstetrics-and-gynecologist,2025-06-15 09:18:07
"dr. Alexy Oktoman Djohansjah, Sp. OG (K) Onk",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/870263_22-6-2022_20-56-32.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Ali Mahmud, Sp.OG-KFER",Sp. Kandungan & Kebidanan,Siloam Hospitals Surabaya,"Gubeng, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/152148_29-11-2022_14-38-24.png,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Aliefatien Asmanuwati, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/712191_14-12-2022_14-34-52.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Amanda Rumondang, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/638588_3-2-2022_14-19-22.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Amelia Abdullah, Sp.OG",Sp. Kandungan & Kebidanan,RSIA Paramount Makassar,"Rappocini, Kota Makassar",,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Anak Agung Bagus Indra Permadi, M.Biomed., Sp.OG",Sp. Kandungan & Kebidanan,BIMC Hospitals Nusa Dua,"Kuta Selatan, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/711332_31-10-2022_11-6-10.png,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Anak Agung Gede Adi Parathama, Sp.OG",Sp. Kandungan & Kebidanan,BIMC Hospitals Nusa Dua,"Kuta Selatan, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/436142_31-10-2022_11-54-48.png,obstetrics-and-gynecologist,2025-06-15 09:18:10
dr. Ananda Dewi Pratiwi Sp. OG,Sp. Kandungan & Kebidanan,RSIA Ananda Makassar,"Rappocini, Kota Makassar",,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Andre Viscountie Saputra, Sp.OG, FMAS",Sp. Kandungan & Kebidanan,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/210502_24-6-2022_17-48-0.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:10
Dr. Andry Sp.OG,Sp. Kandungan & Kebidanan,RS Pondok Indah - Bintaro Jaya,"Pondok Aren, Tangerang Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:10
"dr. Anindia Vidya Desanti, SpOG SpOG",Sp. Kandungan & Kebidanan,RSIA Resti Mulya,"Cakung, Jakarta Timur",,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Anna Theresia Reyna R., Sp OG M.Kes",Sp. Kandungan & Kebidanan,RS Santo Borromeus,"Coblong, Kota Bandung",,obstetrics-and-gynecologist,2025-06-15 09:18:13
dr. Anna Widi Prianita Sp. OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Semarang,"Semarang Selatan, Kota Semarang",,obstetrics-and-gynecologist,2025-06-15 09:18:13
dr. Anna Widi Prianta SpOG,Sp. Kandungan & Kebidanan,Siloam Hospitals Semarang,"Semarang Selatan, Kota Semarang",,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Annamaria Niken Ayu Saraswati, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/67859_19-12-2022_17-10-33.png,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Antonius Sri Widayanto, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/136450_22-12-2022_14-36-16.png,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Antony Atmadja, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:13
dr. Ardiansjah Dara Sjahruddin Sp OG,Sp. Kandungan & Kebidanan,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Ardiansjah Dara Sjahruddin, Sp.OG, M.Kes, FICS, FESICOG",Sp. Kandungan & Kebidanan,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Arie Andrianus Polim, MSc, DMAS., Sp.OG K-Fer",Sp. Kandungan & Kebidanan,RSKIA Eka Grand Family,"Penjaringan, Jakarta Utara",,obstetrics-and-gynecologist,2025-06-15 09:18:13
"dr. Arief Budiono, Sp.OG",Sp. Kandungan & Kebidanan,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/558468_19-5-2021_17-2-23.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:15
dr. Arief Tunjung Seto Sp. OG,Sp. Kandungan & Kebidanan,RSIA Soerya,"Taman, Kabupaten Sidoarjo",,obstetrics-and-gynecologist,2025-06-15 09:18:15
"dr. Arif Tunjungseto, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/121966_14-12-2022_17-17-49.png,obstetrics-and-gynecologist,2025-06-15 09:18:15
"dr. Arina Indriany, Sp.OG",Sp. Kandungan & Kebidanan,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/549814_13-12-2022_14-16-45.png,obstetrics-and-gynecologist,2025-06-15 09:18:15
dr. Arini Andriati Sp. OG,Sp. Kandungan & Kebidanan,RSIA Melati Husada,"Klojen, Kota Malang",,obstetrics-and-gynecologist,2025-06-15 09:18:15
DR Ario Bimo Hanggono Sp. OG,Sp. Kandungan & Kebidanan,RS Muhammadiyah Taman Puring,"Kebayoran Baru, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:15
"dr. Arman Djajakusli, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/412817_22-12-2022_22-38-52.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:15
"Dr. dr. Aryani Aziz, Sp.OG-KFM, MARS",Sp. Kandungan & Kebidanan,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/689370_22-12-2022_17-42-8.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:15
"dr. Asdaria Tenriabeng Azis Taba, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/706623_4-5-2021_14-53-29.png,obstetrics-and-gynecologist,2025-06-15 09:18:15
dr. Aspari Novy A Sp.OG,Sp. Kandungan & Kebidanan,RS Restu Ibu Balikpapan,"Balikpapan Tengah, Kota Balikpapan",,obstetrics-and-gynecologist,2025-06-15 09:18:15
dr. Aspian Noor A Sp.OG.,Sp. Kandungan & Kebidanan,RS Restu Ibu Balikpapan,"Balikpapan Tengah, Kota Balikpapan",,obstetrics-and-gynecologist,2025-06-15 09:18:18
dr. Aspian Noor A. Sp.OG.,Sp. Kandungan & Kebidanan,RS Restu Ibu Balikpapan,"Balikpapan Tengah, Kota Balikpapan",,obstetrics-and-gynecologist,2025-06-15 09:18:18
dr. Asplan Noor A Sp.OG.,Sp. Kandungan & Kebidanan,RS Harum Sisma Medika,"Makasar, Jakarta Timur",,obstetrics-and-gynecologist,2025-06-15 09:18:18
"dr. Asril Moeis, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/474912_30-6-2022_14-14-13.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:18
"dr. Astri Diah Anandita, Sp.OG-KFM",Sp. Kandungan & Kebidanan,Siloam Hospitals TB Simatupang,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/705070_4-4-2022_14-31-56.png,obstetrics-and-gynecologist,2025-06-15 09:18:18
"dr. Astri Novianti, SpOG",Sp. Kandungan & Kebidanan,RS Permata Kuningan,"Kuningan, Kabupaten Kuningan",,obstetrics-and-gynecologist,2025-06-15 09:18:18
dr. Aswin W Sastrowardoyo Sp.OG,Sp. Kandungan & Kebidanan,RS Puri Cinere,"Cinere, Depok",,obstetrics-and-gynecologist,2025-06-15 09:18:18
Dr. Aswin Wisaksono Sastrowardoyo Sp OG,Sp. Kandungan & Kebidanan,RS Pondok Indah - Pondok Indah,"Kebayoran Lama, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:18
dr Aswin Wisaksono Sastrowardoyo Sp. OG,Sp. Kandungan & Kebidanan,RS Pondok Indah - Pondok Indah,"Kebayoran Lama, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:18
"dr. Atik Purwitaningrum , Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Cikarang,"Cikarang Utara, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/654961_23-4-2025_11-8-18.png,obstetrics-and-gynecologist,2025-06-15 09:18:18
"dr. Aulia Rahman Sp.OG, Msc",Sp. Kandungan & Kebidanan,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/626383_13-12-2022_14-57-24.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:21
dr. Ayu Wityasti W Sp. OG,Sp. Kandungan & Kebidanan,RSKIA Sadewa,"Kecamatan Depok, Kabupaten Sleman",,obstetrics-and-gynecologist,2025-06-15 09:18:21
dr. Bambang Binalawan Sp.OG,Sp. Kandungan & Kebidanan,RS Harapan Bunda Jakarta,"Ciracas, Jakarta Timur",,obstetrics-and-gynecologist,2025-06-15 09:18:21
"Dr. dr. Bambang Dwipoyono, Sp.OG",Sp. Kandungan & Kebidanan,MRCCC Siloam Hospitals Semanggi,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/527118_23-6-2022_15-11-13.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:21
Dr. Bambang Priyambodo Sp. OG,Sp. Kandungan & Kebidanan,RS Ken Saras,"Bergas, Kabupaten Semarang",,obstetrics-and-gynecologist,2025-06-15 09:18:21
Bayu Indrayana Sp.OG,Sp. Kandungan & Kebidanan,RS Santo Yusup,"Cibeunying Kidul, Kota Bandung",,obstetrics-and-gynecologist,2025-06-15 09:18:21
"dr. Benediktus Arifin, Sp.OG (K), MD, MPH, FICS",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/269636_7-6-2022_15-41-21.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:21
dr. Benny Johan Marpaung Sp. OG,Sp. Kandungan & Kebidanan,Prime Care Clinic Panglima Polim,"Kebayoran Baru, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:21
dr. Benny Johan Marpaung Sp. OG,Sp. Kandungan & Kebidanan,Prime Care Clinic Panglima Polim,"Kebayoran Baru, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:21
"dr. Birama Robby Indraprasta, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/229963_20-7-2022_16-37-54.png,obstetrics-and-gynecologist,2025-06-15 09:18:21
"dr. Bismarck Joel Laihad, Sp.OG (K)",Sp. Kandungan & Kebidanan,Siloam Hospitals Manado,"Wenang, Kota Manado",https://d1ojs48v3n42tp.cloudfront.net/personnels/583441_4-5-2021_16-22-13.png,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Boy Abidin Sp.OG (K),Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",,obstetrics-and-gynecologist,2025-06-15 09:18:23
"dr. Boy Abidin, Sp.OG (K)",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",https://d1ojs48v3n42tp.cloudfront.net/personnels/686675_11-4-2022_11-42-57.png,obstetrics-and-gynecologist,2025-06-15 09:18:23
Dr. Bramundito Sp OG,Sp. Kandungan & Kebidanan,RS Pondok Indah - Pondok Indah,"Kebayoran Lama, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Budi Mulyana Sp OG,Sp. Kandungan & Kebidanan,RSIA Budhi Mulia,"Marpoyan Damai, Kota Pekanbaru",,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Budi Mulyana Sp OG,Sp. Kandungan & Kebidanan,RSIA Budhi Mulia,"Marpoyan Damai, Kota Pekanbaru",,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Budi Nuryama Sp.OG,Sp. Kandungan & Kebidanan,RSIA Budhi Mulia,"Marpoyan Damai, Kota Pekanbaru",,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Budi Sp.Og,Sp. Kandungan & Kebidanan,Klinik Telagasari,"Talagasari, Kabupaten Karawang",,obstetrics-and-gynecologist,2025-06-15 09:18:23
dr. Budiyanto Abdul R. Sp. OG,Sp. Kandungan & Kebidanan,RS Lira Medika,"Karawang Timur, Kabupaten Karawang",,obstetrics-and-gynecologist,2025-06-15 09:18:23
"dr. Budyantoro Dwi Atmono, Sp.OG (K)",Sp. Kandungan & Kebidanan,Siloam Hospitals Jember,"Kaliwates, Kabupaten Jember",https://d1ojs48v3n42tp.cloudfront.net/personnels/332562_28-3-2023_19-59-20.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:23
"dr. C. Herawati Sri Ratna Dewi, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/447134_24-3-2022_16-3-22.png,obstetrics-and-gynecologist,2025-06-15 09:18:26
Dr. Carmellia Sp. OG,Sp. Kandungan & Kebidanan,RS PIK,"Penjaringan, Jakarta Utara",,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Chandra Mahyuddin, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/174238_23-12-2022_14-14-33.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Choery Novitasari, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/755691_23-6-2022_15-38-13.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Chrisdiono Meinardhy Achadiat, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/511258_14-12-2022_14-37-54.png,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Christian Sastra, Sp.OG",Sp. Kandungan & Kebidanan,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/437680_8-12-2022_10-40-12.png,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Christin Wigin Hia, Sp.OG., M.Kes",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/404970_11-4-2022_10-55-58.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Citra Dewi, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Agora,"Cempaka Putih, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/53360_13-12-2022_15-32-11.png,obstetrics-and-gynecologist,2025-06-15 09:18:26
DR JAYANTHI KAREN A/P SOKALINGAM,Sp. Kandungan & Kebidanan,Island Hospital Penang,"Mampang Prapatan, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Dachrial Daud, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/806382_24-3-2022_16-4-17.png,obstetrics-and-gynecologist,2025-06-15 09:18:26
"dr. Dahlia, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Mataram,"Mataram, Kota Mataram",https://d1ojs48v3n42tp.cloudfront.net/personnels/156434_24-3-2023_13-17-39.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:28
"dr. Damayanti Eka Fransiska Malau, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Jambi,"Jambi Selatan, Kota Jambi",https://d1ojs48v3n42tp.cloudfront.net/personnels/784690_14-6-2022_17-19-22.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Danny Wiguna Sp.OG,Sp. Kandungan & Kebidanan,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/579463_8-12-2022_15-23-24.png,obstetrics-and-gynecologist,2025-06-15 09:18:28
"dr. Danu Lestariyanto, Sp.OG",Sp. Kandungan & Kebidanan,RSU Syubbanul Wathon,"Pakis, Kabupaten Magelang",https://d1ojs48v3n42tp.cloudfront.net/personnels/868175_26-12-2022_14-38-50.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:28
"dr. Data Angkasa, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/204619_14-12-2022_14-36-28.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:28
"dr. Daud Kristianto, Sp.OG",Sp. Kandungan & Kebidanan,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/681931_13-12-2022_10-39-10.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Desty Putri Kristianingesti Sp.OG,Sp. Kandungan & Kebidanan,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/442497_1-11-2024_16-6-57.png,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Devi Resnia Vistari Sp.og,Sp. Kandungan & Kebidanan,RSIA Selasih Medika,"Bekasi Barat, Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Dewa Nyoman Nurharta SpOG,Sp. Kandungan & Kebidanan,RSU Dharma Kerti,"Tabanan, Kabupaten Tabanan",,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Dewanto O.K Sp.OG,Sp. Kandungan & Kebidanan,RSIA Permata Hati Kudus,"Kota Kudus, Kabupaten Kudus",,obstetrics-and-gynecologist,2025-06-15 09:18:28
dr. Dewi Angg Rembulan Sp OG,Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",,obstetrics-and-gynecologist,2025-06-15 09:18:31
"dr. Dewi Hana Kesumawati, Sp.OG",Sp. Kandungan & Kebidanan,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/662176_13-12-2022_13-52-18.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr. Dewi Kooskuniawati Sp.OG,Sp. Kandungan & Kebidanan,RSU Hasanah Graha Afiah,"Sukmajaya, Depok",,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr. Dewi Setyawati Sp.OG,Sp. Kandungan & Kebidanan,RS Indriati Boyolali,"Mojosongo, Kabupaten Boyolali",,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr Dian Ambarwati Sp. OG,Sp. Kandungan & Kebidanan,RS Islam Bogor,"Tanah Sareal, Bogor",,obstetrics-and-gynecologist,2025-06-15 09:18:31
"dr. Dian Burhansah , Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/157534_30-4-2025_14-33-3.png,obstetrics-and-gynecologist,2025-06-15 09:18:31
"dr. Diana Mauria Ratna Asih, Sp.OG",Sp. Kandungan & Kebidanan,Mayapada Hospital Kuningan,"Setiabudi, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/190678_4-4-2023_22-54-1.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:31
"dr. Diana Suyono, Sp.OG",Sp. Kandungan & Kebidanan,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/166915_24-12-2022_10-49-56.png,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr Dimas Radityo Yohakim Sp.OG,Sp. Kandungan & Kebidanan,RS Jakarta,"Setiabudi, Jakarta Selatan",,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr. Dintardi Nuraeni Sp. OG,Sp. Kandungan & Kebidanan,Mitrasana Kelapa Gading,"Kelapa Gading, Jakarta Utara",,obstetrics-and-gynecologist,2025-06-15 09:18:31
dr. Djoko Moeljono Sp.OG,Sp. Kandungan & Kebidanan,RS dr. OEN Kandang Sapi Solo,"Jebres, Kota Surakarta",,obstetrics-and-gynecologist,2025-06-15 09:18:34
dr. Djoko Moeljono Sp.OG,Sp. Kandungan & Kebidanan,RS dr. OEN Kandang Sapi Solo,"Jebres, Kota Surakarta",,obstetrics-and-gynecologist,2025-06-15 09:18:34
"dr. Donny Gunawan, Sp.OG",Sp. Kandungan & Kebidanan,Siloam Hospitals Lippo Village,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/340724_24-3-2022_16-6-46.jpeg,obstetrics-and-gynecologist,2025-06-15 09:18:34
